name, link, rating, votes, year, releaseDate, genres, runtime, plot, image, imageCaption, metascore, certificate, status, keywords, countriesOfOrigin, meterRanking, meterRankChange, directors, writers, stars, topCast, budget, openingWeekendGross, lifetimeGross, worldwideGross, filmingLocations, spokenLanguages, soundMix, aspectRatio, color, awardWins, awardNominations, titleType, isSeries, isEpisode, isAdult
"Hokum", "https://www.imdb.com/title/tt35672862/", "6.9", "27225", "2026", "1/5/2026", "Horror, Thriller", "6420", "A horror writer visits an Irish inn to scatter his parents' ashes, unaware the property is said to be haunted by a witch.", "https://m.media-amazon.com/images/M/MV5BZjA1ZjFlZGItNTVjZC00NTFhLTg2YTEtODMzODRmNGFiNTdmXkEyXkFqcGc@._V1_.jpg", "Adam Scott in Hokum (2026)", "76", "R", "Released", "", "US", "33", "UP 79", "Eric Appel", "Nate Bargatze, Dan Lagana", "Nate Bargatze, Mandy Moore, Colin Jost", "Nate Bargatze, Mandy Moore, Colin Jost, Zach Cherry", "", "USD 7,353,073", "USD 7,353,073", "USD 7,353,073", "Atlanta, Georgia, USA", "English", "", "2.39 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"In the Grey", "https://www.imdb.com/title/tt27681354/", "6.3", "13767", "2026", "15/5/2026", "Action, Drama, Thriller", "5880", "A covert team of elite operatives are living in the shadows. When a ruthless despot steals a billion-dollar fortune, they're sent to take it back-an impossible heist that erupts into a deadly game of strategy, deception and survival.", "https://m.media-amazon.com/images/M/MV5BMTZkMTIzMTItMTQwZS00MTg4LWE0MTEtM2NiNmUzYjRmMGUxXkEyXkFqcGc@._V1_.jpg", "Henry Cavill, Jake Gyllenhaal, and Eiza González in In the Grey (2026)", "53", "R", "Released", "", "US", "45", "UP 659", "John Travolta", "", "Clark Shotwell, Kelly B. Eviston, Ellen Travolta", "Clark Shotwell, Kelly B. Eviston, Ellen Travolta, Jimmy Marino", "", "", "", "", "TWA Hotel, John F. Kennedy International Airport, New York City, New York, USA", "", "", "", "Color", "0", "0", "Movie", "False", "False", "False"
"The Odyssey", "https://www.imdb.com/title/tt33764258/", "0", "0", "2026", "17/7/2026", "Adventure, Drama, Fantasy", "10320", "After the Trojan War, Odysseus faces a dangerous voyage back to Ithaca, meeting creatures like the Cyclops Polyphemus, Sirens, and Calypso along the way.", "https://m.media-amazon.com/images/M/MV5BZDY2NTkxMWQtMmNkMC00NmNjLWIzMmItNmEyMmRmMDk2YmY2XkEyXkFqcGc@._V1_.jpg", "Matt Damon in The Odyssey (2026)", "", "", "Completed", "diaper wearing woman, parody comedy, resetquel, serial killer, slasher", "US", "27", "UP 18", "Michael Tiddes", "Rick Alvarez, Phil Beauman, Jason Friedberg", "Anna Faris, Jon Abrahams, Regina Hall", "Anna Faris, Jon Abrahams, Regina Hall, Marlon Wayans", "", "", "", "", "Tyler Perry Studios, Atlanta, Georgia, USA", "English", "", "2.39 : 1", "Color", "0", "1", "Movie", "False", "False", "False"
"Ladies First", "https://www.imdb.com/title/tt34611082/", "5.8", "21989", "2026", "22/5/2026", "Comedy", "5400", "A male chauvinist is transported to a matriarchal society, facing challenges from a formidable female version of himself.", "https://m.media-amazon.com/images/M/MV5BNjBhMjk2NmQtY2JhOC00OTIzLTkzZjItNjA2NWM3OTkzNzA5XkEyXkFqcGc@._V1_.jpg", "Sacha Baron Cohen and Rosamund Pike in Ladies First (2026)", "37", "R", "Released", "film adaptation, north american adaptation of french source material, american adaptation of french source material, american adaptation of european source material, adaptation", "US", "5", "FLAT 0", "Thea Sharrock", "Natalie Krinsky, Cinco Paul, Katie Silberman", "Sacha Baron Cohen, Rosamund Pike, Tom Davis", "Sacha Baron Cohen, Rosamund Pike, Tom Davis, Emily Mortimer", "", "", "", "", "", "English", "Dolby Atmos", "2.39 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"Pressure", "https://www.imdb.com/title/tt32547691/", "7.6", "2760", "2026", "29/5/2026", "Drama, History, Thriller", "6000", "In the tense 72 hours before D-Day, General Dwight D. Eisenhower and Captain James Stagg face an impossible choice--launch the most dangerous seaborne invasion in history or risk losing the war altogether.", "https://m.media-amazon.com/images/M/MV5BMjE2YjdkNDctMDg1MS00MjBjLWIyZjEtZWM1ZjczNTAzZGEyXkEyXkFqcGc@._V1_.jpg", "Brendan Fraser and Andrew Scott in Pressure (2026)", "69", "PG-13", "Released", "mortal kombat, based on video game, martial arts, dark fantasy, sequel", "US", "14", "DOWN 6", "Simon McQuoid", "Jeremy Slater, Ed Boon, John Tobias", "Adeline Rudolph, Karl Urban, Martyn Ford", "Adeline Rudolph, Karl Urban, Martyn Ford, Tati Gabrielle", "USD 68,000,000", "USD 38,501,177", "USD 77,768,486", "USD 125,568,486", "Village Roadshow Studios, Oxenford, Queensland, Australia", "English, Spanish", "Dolby Digital, Dolby Surround 7.1, IMAX 6-Track, Auro 11.1, Dolby Atmos", "2.39 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"Remarkably Bright Creatures", "https://www.imdb.com/title/tt33100314/", "7.7", "32742", "2026", "8/5/2026", "Comedy, Drama", "6660", "Through unlikely bonds formed during night shifts at a local aquarium, Tova, an elderly widow, learns of a life-changing discovery that may bring her joy and wonder once again.", "https://m.media-amazon.com/images/M/MV5BNzM3OTRlZDktYTk0OS00OTlmLWFhMjctMTZiODU4N2RiYzhhXkEyXkFqcGc@._V1_.jpg", "Sally Field, Alfred Molina, and Lewis Pullman in Remarkably Bright Creatures (2026)", "55", "PG-13", "Released", "octopus, reference to slipknot, car breaks down, camper van, loss of son", "US", "8", "DOWN 1", "Olivia Newman", "Olivia Newman, John Whittington, Shelby Van Pelt", "Sally Field, Lewis Pullman, Colm Meaney", "Sally Field, Lewis Pullman, Colm Meaney, Joan Chen", "", "", "", "", "Maple Ridge, British Columbia, Canada", "English", "Dolby Digital", "1.85 : 1", "Color", "0", "2", "Movie", "False", "False", "False"
"Apex", "https://www.imdb.com/title/tt16431404/", "6.1", "85621", "2026", "24/4/2026", "Action, Thriller", "5700", "A mountain climber haunted by a fatal decision in Norway retreats to the Australian wilderness for isolation. Her journey turns into a desperate hunt when a deceptive local targets her as his next ritualistic prey in the bush.", "https://m.media-amazon.com/images/M/MV5BNjUzODE2ZWYtMDdiMS00ZTA0LWI4MzEtNDkyODNiNmIwMWY1XkEyXkFqcGc@._V1_.jpg", "Charlize Theron and Taron Egerton in Apex (2026)", "58", "R", "Released", "mortal kombat, based on video game, martial arts, dark fantasy, sequel", "US", "14", "DOWN 6", "Simon McQuoid", "Jeremy Slater, Ed Boon, John Tobias", "Adeline Rudolph, Karl Urban, Martyn Ford", "Adeline Rudolph, Karl Urban, Martyn Ford, Tati Gabrielle", "USD 68,000,000", "USD 38,501,177", "USD 77,768,486", "USD 125,568,486", "Village Roadshow Studios, Oxenford, Queensland, Australia", "English, Spanish", "Dolby Digital, Dolby Surround 7.1, IMAX 6-Track, Auro 11.1, Dolby Atmos", "2.39 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"The Sheep Detectives", "https://www.imdb.com/title/tt32565993/", "7.6", "18208", "2026", "8/5/2026", "Comedy, Family, Mystery", "6540", "Every night a shepherd reads aloud a murder mystery, pretending his sheep can understand. When he is found dead, the sheep realize at once that it was a murder and think they know everything about how to go about solving it.", "https://m.media-amazon.com/images/M/MV5BNTFmZWI4YmMtNmQ0ZC00ZGQwLTk1OWEtZjAyZmIzOGY0MGFiXkEyXkFqcGc@._V1_.jpg", "Julia Louis-Dreyfus, Emma Thompson, Patrick Stewart, Bryan Cranston, Regina Hall, Hugh Jackman, Nicholas Braun, Rhys Darby, Molly Gordon, Aroop Shergill, Chris O'Dowd, Jasper Ambrose, Tommy Birchall, Ishi Agrawal, Brett Goldstein, Hong Chau, Tosin Cole, Nicholas Galitzine, and Bella Ramsey in The Sheep Detectives (2026)", "72", "PG", "Released", "octopus, reference to slipknot, car breaks down, camper van, loss of son", "US", "8", "DOWN 1", "Olivia Newman", "Olivia Newman, John Whittington, Shelby Van Pelt", "Sally Field, Lewis Pullman, Colm Meaney", "Sally Field, Lewis Pullman, Colm Meaney, Joan Chen", "", "", "", "", "Maple Ridge, British Columbia, Canada", "English", "Dolby Digital", "1.85 : 1", "Color", "0", "2", "Movie", "False", "False", "False"
"Tom Clancy's Jack Ryan: Ghost War", "https://www.imdb.com/title/tt34378301/", "5.7", "21922", "2026", "20/5/2026", "Action, Drama, Thriller", "6300", "Follows Jack Ryan who reunites with CIA operatives to navigate a treacherous web of betrayal against an enemy who knows their every move, facing a past they thought was long put to rest.", "https://m.media-amazon.com/images/M/MV5BZGY2MDU2Y2YtOTkzNC00MTY4LThkODYtNWIxNmRlZmRjZWJlXkEyXkFqcGc@._V1_.jpg", "Michael Kelly, Wendell Pierce, John Krasinski, and Sienna Miller in Tom Clancy's Jack Ryan: Ghost War (2026)", "38", "R", "Released", "octopus, reference to slipknot, car breaks down, camper van, loss of son", "US", "8", "DOWN 1", "Olivia Newman", "Olivia Newman, John Whittington, Shelby Van Pelt", "Sally Field, Lewis Pullman, Colm Meaney", "Sally Field, Lewis Pullman, Colm Meaney, Joan Chen", "", "", "", "", "Maple Ridge, British Columbia, Canada", "English", "Dolby Digital", "1.85 : 1", "Color", "0", "2", "Movie", "False", "False", "False"
"Maa Behen", "https://www.imdb.com/title/tt33538438/", "5.6", "1727", "2026", "4/6/2026", "Comedy, Crime, Drama", "7620", "Rekha and her daughters Jaya and Sushma, controversial figures in their conservative neighborhood, discover a dead body in their kitchen. The struggling, squabbling mother-daughter trio must work together to cover up the crime.", "https://m.media-amazon.com/images/M/MV5BZGZjMGRjN2QtZWM4Ni00NjVjLWFjZjMtMmJmNjg2ZjQ1ZmZmXkEyXkFqcGc@._V1_.jpg", "Maa Behen (2026)", "", "TV-14", "Released", "dark comedy, bollywood musical", "IN", "20", "UP 3139", "Suresh Triveni", "Pooja Tolani, Suresh Triveni", "Madhuri Dixit, Triptii Dimri, Ravi Kishan", "Madhuri Dixit, Triptii Dimri, Ravi Kishan, Dharna Durga", "", "", "", "", "", "Hindi", "Dolby Atmos", "2.00 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"Iron Lung", "https://www.imdb.com/title/tt27564844/", "6", "24833", "2026", "30/1/2026", "Horror, Sci-Fi", "7500", "In a post-apocalyptic future after "The Quiet Rapture" event, a convict explores a blood ocean on a desolate moon using a submarine called the "Iron Lung" to search for missing stars/planets.", "https://m.media-amazon.com/images/M/MV5BYzkxOGU1YmQtNDc0Ni00M2JhLWFlZjktODMzOGU3MjQxMTQ0XkEyXkFqcGc@._V1_.jpg", "Iron Lung (2026)", "54", "R", "Released", "supernatural horror, psychological horror, road trip, one word title, old woman", "US", "21", "DOWN 8", "André Øvredal", "Zachary Donohue, T.W. Burgess", "Jacob Scipio, Lou Llobell, Melissa Leo", "Jacob Scipio, Lou Llobell, Melissa Leo, Joseph Lopez", "", "USD 8,746,797", "USD 15,391,486", "USD 25,091,486", "Seattle, Washington, USA", "English", "Dolby Atmos", "", "Color", "0", "0", "Movie", "False", "False", "False"
"Hai Jawani Toh Ishq Hona Hai", "https://www.imdb.com/title/tt30447822/", "6.8", "9966", "2026", "5/6/2026", "Comedy, Drama, Romance", "8160", "When differences over family planning end Jass and Bani's marriage, Jass begins a new romance abroad, only to become entangled in unexpected secrets and complicated relationships.", "https://m.media-amazon.com/images/M/MV5BZWE1OTg5ZDMtYjllZC00YzE2LTg1N2UtZmI0OTBmMWE3NzFkXkEyXkFqcGc@._V1_.jpg", "Varun Dhawan, Pooja Hegde, and Mrunal Thakur in Hai Jawani Toh Ishq Hona Hai (2026)", "", "", "Released", "romantic comedy", "IN", "22", "UP 1749", "David Dhawan", "David Dhawan, Yunus Sajawal, Farhad Samji", "Varun Dhawan, Pooja Hegde, Mrunal Thakur", "Varun Dhawan, Pooja Hegde, Mrunal Thakur, Maniesh Paul", "", "", "", "", "Glasgow, Scotland, UK", "Hindi", "Dolby Digital, Dolby Atmos", "2.39:1", "Color", "0", "0", "Movie", "False", "False", "False"
"Mortal Kombat II", "https://www.imdb.com/title/tt17490712/", "6.6", "40344", "2026", "8/5/2026", "Action, Adventure, Fantasy", "6960", "The fan favorite champions -- now joined by Johnny Cage himself -- are pitted against one another in the ultimate battle to defeat the dark rule of Shao Kahn that threatens the very existence of the Earthrealm and its defenders.", "https://m.media-amazon.com/images/M/MV5BNTg2YWNkN2EtMzc1Ny00ZTBhLWFmYTItMmMyNzhjNjhhNmVhXkEyXkFqcGc@._V1_.jpg", "Tadanobu Asano, Damon Herriman, Josh Lawson, Hiroyuki Sanada, Karl Urban, Ana Thu Nguyen, CJ Bloomfield, Lewis Tan, Mehcad Brooks, Chin Han, Jessica McNamee, Joe Taslim, Ludi Lin, Desmond Chiam, Max Huang, Tati Gabrielle, Martyn Ford, and Adeline Rudolph in Mortal Kombat II (2026)", "46", "R", "Released", "egypt, egyptian, mummified body, creepy child, possessed woman", "IE", "16", "DOWN 5", "Lee Cronin", "", "Jack Reynor, Laia Costa, May Calamawy", "Jack Reynor, Laia Costa, May Calamawy, Natalie Grace", "USD 22,000,000", "USD 13,517,172", "USD 29,152,113", "USD 90,152,113", "Ardmore Studios - Herbert Rd, Killarney, Bray, Co. Wicklow, Ireland", "English, Spanish, Arabic", "IMAX 6-Track, Dolby Atmos, Dolby Digital", "2.39 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"Send Help", "https://www.imdb.com/title/tt8036976/", "6.7", "118272", "2026", "30/1/2026", "Adventure, Horror, Thriller", "6780", "An overworked analyst and her arrogant nepo-baby boss survive a plane crash near Thailand and must cooperate to survive on a remote jungle island while their workplace power dynamic collapses around them.", "https://m.media-amazon.com/images/M/MV5BOTgxOWY5NTMtYjdiNi00NTIyLTkwMTQtMWNjM2IzYTU0ODgyXkEyXkFqcGc@._V1_.jpg", "Rachel McAdams and Dylan O'Brien in Send Help (2026)", "75", "R", "Released", "1930s, mary shelley character, creature, scientist, chicago illinois", "FR", "26", "DOWN 10", "Maggie Gyllenhaal", "Maggie Gyllenhaal, Mary Shelley", "Jessie Buckley, Christian Bale, Annette Bening", "Jessie Buckley, Christian Bale, Annette Bening, Penélope Cruz", "USD 80,000,000", "USD 7,051,476", "USD 12,744,025", "USD 23,944,025", "Snug Harbor Cultural Center, Staten Island, New York City, New York, USA", "English, Spanish", "", "2.39 : 1", "Color", "0", "1", "Movie", "False", "False", "False"
"Toy Story 5", "https://www.imdb.com/title/tt29355505/", "0", "0", "2026", "19/6/2026", "Animation, Adventure, Comedy", "6120", "Woody, Buzz, Jessie and the rest of the gang's jobs are challenged when they're introduced to electronics, a new threat to playtime.", "https://m.media-amazon.com/images/M/MV5BZTI1YTBiNmEtYWUxZi00YzFkLWIzNjMtMmZjMmY2NzM0ZWMzXkEyXkFqcGc@._V1_.jpg", "Tom Hanks, Joan Cusack, Tim Allen, John Ratzenberger, Conan O'Brien, Jeff Bergman, Blake Clark, Tony Hale, Craig Robinson, Shelby Rabara, Greta Lee, and Melissa Villaseñor in Toy Story 5 (2026)", "", "PG", "Released", "bench trial, archive footage, drug use, cigarette smoking, smoking drugs", "GB", "36", "DOWN 15", "Gareth Johnson", "", "Mackenzie Shirilla, Dominic Russo, Davion Flanagan", "Mackenzie Shirilla, Dominic Russo, Davion Flanagan, Rosie Graham", "", "", "", "", "", "English", "", "", "", "0", "0", "Movie", "False", "False", "False"
"Supergirl", "https://www.imdb.com/title/tt8814476/", "0", "0", "2026", "26/6/2026", "Action, Adventure, Drama", "6600", "Kara Zor-El, aka Supergirl, joins forces with an unlikely companion on an interstellar journey of vengeance and justice when an unexpected adversary strikes too close to home.", "https://m.media-amazon.com/images/M/MV5BNjlhMTdmODYtOGE0ZC00YzAwLWI1NDMtMTIzZDQzZGVkNDMwXkEyXkFqcGc@._V1_.jpg", "Milly Alcock in Supergirl (2026)", "", "PG-13", "Post-production", "", "", "66", "UP 3568", "", "Jon Lucas, Scott Moore", "Anna Faris, Isla Fisher, Leslie Mann", "Anna Faris, Isla Fisher, Leslie Mann, Yasmin Kassim", "", "", "", "", "Gold Coast, Queensland, Australia", "", "", "", "Color", "0", "0", "Movie", "False", "False", "False"
"The Devil Wears Prada 2", "https://www.imdb.com/title/tt33612209/", "6.6", "55578", "2026", "1/5/2026", "Comedy, Drama", "7140", "Andy Sachs reunites with Miranda Priestly as they navigate their careers amid the decline of traditional magazine publishing.", "https://m.media-amazon.com/images/M/MV5BZmM3ZDU3ODItZmY5Yi00OTQ2LWE5OTctZTA5NDBhMWJkOGY3XkEyXkFqcGc@._V1_.jpg", "Meryl Streep, Stanley Tucci, Anne Hathaway, and Emily Blunt in The Devil Wears Prada 2 (2026)", "63", "PG-13", "Released", "ancient greece, greek, based on epic poem, epic poem, odysseus character", "GB", "24", "DOWN 12", "Christopher Nolan", "Christopher Nolan, Homer", "Matt Damon, Tom Holland, Anne Hathaway", "Matt Damon, Tom Holland, Anne Hathaway, Robert Pattinson", "USD 250,000,000", "", "", "", "Messinia, Peloponnese region, Greece", "English", "IMAX 6-Track", "", "Color", "0", "0", "Movie", "False", "False", "False"
"Passenger", "https://www.imdb.com/title/tt33763941/", "5.6", "5848", "2026", "22/5/2026", "Horror, Thriller", "5640", "After a young couple witnesses a gruesome highway accident, they soon realize they did not leave the crash scene alone, as a demonic presence called the Passenger won't stop until it claims them both.", "https://m.media-amazon.com/images/M/MV5BNDhmZmJlMDctNTA3MS00NTkwLThkZGQtMjM5MTdmMDg2YjBjXkEyXkFqcGc@._V1_.jpg", "Passenger (2026)", "52", "R", "Released", "airplane crash, female rage, island, castaway, stranded on an island", "US", "23", "DOWN 5", "Sam Raimi", "Damian Shannon, Mark Swift", "Rachel McAdams, Dylan O'Brien, Edyll Ismail", "Rachel McAdams, Dylan O'Brien, Edyll Ismail, Dennis Haysbert", "USD 40,000,000", "USD 19,102,299", "USD 64,734,795", "USD 94,041,481", "Thailand", "English", "IMAX 6-Track, 12-Track Digital Sound, Dolby Atmos, DTS:X, SDDS", "2.39 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
