name, rating, votes, link, image, plot, genres, runtime, certificate, keywords, countriesOfOrigin, meterRanking, meterRankChange, directors, writers, stars, topCast, budget, openingWeekendGross, lifetimeGross, worldwideGross, filmingLocations, spokenLanguages, soundMix, aspectRatio, color, awardWins, awardNominations, titleType, isSeries, isEpisode, isAdult
"The Amazing Digital Circus", "8.3", "15351", "https://www.imdb.com/title/tt27610198/", "https://m.media-amazon.com/images/M/MV5BMTlkY2NjODgtOWI5ZC00MjIzLWFiYjItN2ZiOTU5YzA2ODlmXkEyXkFqcGc@._V1_.jpg", "A woman finds herself trapped in a virtual circus where she and five other humans are subject to the whims of wacky AI. In this digital purgatory they must face frightening NPCs and cope with their own personal traumas.", "Animation, Adventure, Comedy", "0", "TV-PG", "circus, virtual world, trapped in virtual reality, escape plan, youtube", "GB", "25", "UP 252", "", "", "Lizzie Freeman, Alex Rochon, Michael Kovach", "Lizzie Freeman, Alex Rochon, Michael Kovach, Amanda Hufford", "", "", "", "", "", "English, Korean, Filipino, Spanish, Japanese, German, Ukrainian, Chinese, Thai, Russian, Turkish, Indonesian", "", "16:9 HD", "Color", "0", "2", "TV Series", "True", "False", "False"
"The Pitt", "8.9", "153299", "https://www.imdb.com/title/tt31938062/", "https://m.media-amazon.com/images/M/MV5BMThjMjYxM2YtM2IzZC00NDdmLThiNDYtNzEyNzA0YTRmYTk3XkEyXkFqcGc@._V1_.jpg", "The daily lives of healthcare professionals in a Pittsburgh hospital as they juggle personal crises, workplace politics, and the emotional toll of treating critically ill patients, revealing the resilience required in their noble ...", "Drama", "0", "TV-MA", "onlyfans, coming of age, humor, contemporary, adult fiction", "US", "34", "DOWN 17", "", "", "Elle Fanning, Nick Offerman, Greg Kinnear", "Elle Fanning, Nick Offerman, Greg Kinnear, Michelle Pfeiffer", "", "", "", "", "Fox Fullerton Theatre 510 N. Harbor Blvd. Fullerton, California, USA", "English", "Dolby Atmos", "2.20 : 1", "Color", "0", "2", "TV Series", "True", "False", "False"
"Yellowstone", "8.6", "312971", "https://www.imdb.com/title/tt4236770/", "https://m.media-amazon.com/images/M/MV5BZTYxYTdjZjEtNTc0My00NDU2LTkwZmQtNjhhNmJiMzQ3Zjc1XkEyXkFqcGc@._V1_.jpg", "A ranching family in Montana faces off against others encroaching on their land.", "Drama, Western", "0", "TV-MA", "ranch, native american, contemporary western, ranch owner, father son relationship", "US", "26", "DOWN 3", "", "", "Kevin Costner, Luke Grimes, Kelly Reilly", "Kevin Costner, Luke Grimes, Kelly Reilly, Wes Bentley", "", "", "", "", "Chief Joseph Ranch, 125 Appaloosa Trail, Darby, Montana, USA", "English", "Stereo", "2.00 : 1", "Color", "11", "52", "TV Series", "True", "False", "False"
"Hacks", "8.2", "65442", "https://www.imdb.com/title/tt11815682/", "https://m.media-amazon.com/images/M/MV5BMjE0MmM5YzktNGY0NS00ZmQ0LWI1YjEtZjY2NDA4ZmZiNGQ2XkEyXkFqcGc@._V1_.jpg", "Explores a dark mentorship that forms between Deborah Vance, a legendary Las Vegas comedian, and an entitled, outcast 25-year-old.", "Comedy, Drama", "0", "TV-MA", "female protagonist, female full frontal nudity, lesbian, lgbt, daughter", "US", "12", "UP 7", "", "", "Jean Smart, Hannah Einbinder, Carl Clemons-Hopkins", "Jean Smart, Hannah Einbinder, Carl Clemons-Hopkins, Mark Indelicato", "", "", "", "", "Las Vegas, Nevada, USA", "English", "Dolby Digital", "2.00 : 1", "Color", "101", "244", "TV Series", "True", "False", "False"
"For All Mankind", "8.1", "89681", "https://www.imdb.com/title/tt7772588/", "https://m.media-amazon.com/images/M/MV5BZmI5OTNmYWQtNjRhNy00MWYxLWJjMzAtMmRlNDU1ZjBhMzhlXkEyXkFqcGc@._V1_.jpg", "In an alternative version of 1969, the Soviet Union beats the United States to the Moon, and the space race continues on for decades with still grander challenges and goals.", "Drama, Sci-Fi", "0", "TV-MA", "astronaut, space program, 1970s, mining, apple tv", "US", "20", "UP 15", "", "", "Joel Kinnaman, Michael Dorman, Wrenn Schmidt", "Joel Kinnaman, Michael Dorman, Wrenn Schmidt, Cynthy Wu", "", "", "", "", "Sofia, Bulgaria", "English", "", "2.00 : 1", "Color", "3", "21", "TV Series", "True", "False", "False"
"Star City", "6.9", "1367", "https://www.imdb.com/title/tt32140872/", "https://m.media-amazon.com/images/M/MV5BYTA0ZmE5ODQtNDYyZS00NTIzLWEzZTEtZDAwYjEzZmJkYjI2XkEyXkFqcGc@._V1_.jpg", "Soviet cosmonauts, engineers, and intelligence officers risk everything in an ambitious space program aiming to be the first to reach the moon.", "Drama, Sci-Fi", "0", "TV-MA", "space program, alternate history, space race, moon, rocket launch", "US", "14", "UP 410", "", "", "Rhys Ifans, Anna Maxwell Martin, Agnes O'Casey", "Rhys Ifans, Anna Maxwell Martin, Agnes O'Casey, Ruby Ashbourne Serkis", "", "", "", "", "Vilnius, Lithuania", "English", "", "2.35 : 1", "Color", "0", "0", "TV Series", "True", "False", "False"
"Half Man", "8.1", "9348", "https://www.imdb.com/title/tt32767294/", "https://m.media-amazon.com/images/M/MV5BMmM3ZDgwNmItYTc4Mi00MTk4LWEwMWMtNjliZGQ4NTlkZGMzXkEyXkFqcGc@._V1_.jpg", "Ruben turns up at his estranged brother Niall&apos;s wedding, acting as a catalyst for a revival of the last 40 years of their relationship.", "Drama", "0", "TV-MA", "brother brother relationship, family relationships, female topless nudity, tv mini series, gay", "GB", "16", "UP 8", "", "", "Jamie Bell, Richard Gadd, Neve McIntosh", "Jamie Bell, Richard Gadd, Neve McIntosh, Charlie de Melo", "", "", "", "", "Guido's Coronation Restaurant, 55 Gallowgate, Glasgow, Scotland, UK", "English", "", "", "Color", "0", "2", "TV Mini Series", "True", "False", "False"
"The Rookie", "8", "128841", "https://www.imdb.com/title/tt7587890/", "https://m.media-amazon.com/images/M/MV5BMzc2MDdkZDUtZjZlYy00MGMyLWJkNzUtMTMxY2FkZjZjYmEyXkEyXkFqcGc@._V1_.jpg", "Starting over isn&apos;t easy, especially for John Nolan who, after a life-altering incident, is pursuing his dream of joining the LAPD. As their oldest rookie, he&apos;s met with skepticism from those who see him as just a walking midlife ...", "Action, Crime, Drama", "0", "TV-14", "lapd, police officer, rookie cop, male protagonist, male female cop partnership", "US", "29", "UP 2", "", "", "Nathan Fillion, Alyssa Diaz, Richard T. Jones", "Nathan Fillion, Alyssa Diaz, Richard T. Jones, Melissa O'Neil", "", "", "", "", "Los Angeles Department of Water and Power -111 N Hope St Los Angeles, California, USA", "English", "Stereo", "16:9 HD", "Color", "3", "8", "TV Series", "True", "False", "False"
"Supernatural", "8.4", "540480", "https://www.imdb.com/title/tt0460681/", "https://m.media-amazon.com/images/M/MV5BMDFmMGZmMGItNGRjNC00NjVjLWI5ODEtNzhjMTE5MmJhN2FkXkEyXkFqcGc@._V1_.jpg", "Two brothers follow their father&apos;s footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons, and gods that roam the earth.", "Drama, Fantasy, Horror", "0", "TV-14", "onlyfans, coming of age, humor, contemporary, adult fiction", "US", "34", "DOWN 17", "", "", "Elle Fanning, Nick Offerman, Greg Kinnear", "Elle Fanning, Nick Offerman, Greg Kinnear, Michelle Pfeiffer", "", "", "", "", "Fox Fullerton Theatre 510 N. Harbor Blvd. Fullerton, California, USA", "English", "Dolby Atmos", "2.20 : 1", "Color", "0", "2", "TV Series", "True", "False", "False"
"The Testaments", "8.3", "9175", "https://www.imdb.com/title/tt10970762/", "https://m.media-amazon.com/images/M/MV5BMjZhODhiYmEtNTg0ZS00Mjc0LTk0NTYtMGEwMGFlNjFkZGM0XkEyXkFqcGc@._V1_.jpg", "This sequel to &quot;The Handmaid&apos;s Tale&quot; follows Agnes and Daisy, two teens in Gilead who must navigate an elite preparatory school where obedience is brutally enforced. Their bond becomes the catalyst that will transform their lives.", "Drama, Thriller", "0", "TV-MA", "sequel to tv series, dystopia, epic, the future, adult fiction", "US", "18", "UP 8", "", "", "Chase Infiniti, Lucy Halliday, Mabel Li", "Chase Infiniti, Lucy Halliday, Mabel Li, Brad Alexander", "", "", "", "", "Toronto, Ontario, Canada", "English", "Dolby Digital", "2.00 : 1", "Color", "1", "0", "TV Series", "True", "False", "False"
"A Good Girl&apos;s Guide to Murder", "6.8", "26203", "https://www.imdb.com/title/tt28118211/", "https://m.media-amazon.com/images/M/MV5BYTEzODM2NzYtMzU5NC00OWFlLWFkZTktNzEzODVjOTI3YWJkXkEyXkFqcGc@._V1_.jpg", "With cold case murders and new mysteries looming over her sleepy English town, an average teen becomes an amateur sleuth determined to uncover the truth.", "Crime, Drama, Mystery", "0", "TV-MA", "teen sleuth, sleuthing, whodunnit mystery, cold case, female rape victim", "GB", "27", "UP 373", "", "", "Emma Myers, Zain Iqbal, Jude Morgan-Collie", "Emma Myers, Zain Iqbal, Jude Morgan-Collie, Henry Ashton", "", "", "", "", "Axbridge, Somerset, England, UK", "English", "Stereo", "16:9 HD", "Color", "1", "0", "TV Series", "True", "False", "False"
